question,reference_answer,reference_context,conversation_history,metadata
What payment methods can I use to make a purchase with Carefirst Ontario services and how can I track my order after it has been shipped?,"You can make a purchase using major credit and debit cards such as Visa, Mastercard, American Express, and Discover, as well as digital wallets like PayPal and Google Pay, or through bank and wire transfers. After your purchase is confirmed and shipped, you will receive a confirmation email with a tracking number, which you can use to monitor your shipment in real-time via the link in the email or on our website's order tracking page.","Document 7: question: What is the organization name? (Amplifon - Cobourg)
answer: Amplifon - Cobourg",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods can I use to make a purchase with Carefirst Ontario services?', 'answer': 'You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover. We also offer the option to pay with popular digital wallets such as PayPal and Google Pay. Additionally, you can choose to complete your order using bank transfers or wire transfers.'}, {'question': 'How can I track my order from Carefirst Ontario services after it has been shipped?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to enter your tracking number and monitor the progress of your shipment in real-time.""}], 'seed_document_id': 7, 'topic': 'Hearing Clinic Services'}"
What payment methods do you accept and how can I track my order with Carefirst Ontario services?,"You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as popular digital wallets like PayPal and Google Pay, or choose bank transfers or wire transfers. Once your purchase is confirmed and shipped, you will receive a confirmation email with a tracking number to monitor your shipment in real-time via the link in the email or our website's order tracking page.","Document 42: question: What is the service description? (Antrim X-Ray and Ultrasound Clinic)
answer: Diagnostic imaging clinic general radiography general ultrasound Fees: Services may be covered by OHIP",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods do you accept at Carefirst Ontario services?', 'answer': 'You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover. We also offer the option to pay with popular digital wallets such as PayPal and Google Pay. For added flexibility, you can choose to complete your order using bank transfers or wire transfers.'}, {'question': 'How can I track my order with Carefirst Ontario services?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to monitor the progress of your shipment in real-time.""}], 'seed_document_id': 42, 'topic': 'Healthcare Services Information'}"
How can I track my order and what shipping options are available for orders under $50 with Carefirst Ontario services?,"Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to enter your tracking number and monitor the progress of your shipment in real-time. For orders below $50, Carefirst Ontario services charge a flat rate of $5.99 for shipping.","Document 108: question: What are the eligibility criteria? (Arthritis Society Canada)
answer: People of all ages with any form of a confirmed arthritis diagnosis and their families/parents",[],"{'question_type': 'double', 'original_questions': [{'question': 'How can I track my order with Carefirst Ontario services?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to enter your tracking number and monitor the progress of your shipment in real-time.""}, {'question': 'What shipping options are available for orders under $50 with Carefirst Ontario services?', 'answer': 'For orders below $50, Carefirst Ontario services charge a flat rate of $5.99 for shipping.'}], 'seed_document_id': 108, 'topic': 'Community Support Services'}"
What is it?,www.arcadiahomecare.ca,"Document 73: question: What is the website URL? (Arcadia Home Care)
answer: www.arcadiahomecare.ca Address: c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map Intersection: Yonge St and Queens Quay E Location: Toronto (Waterfront Communities-The Island)","[{'role': 'user', 'content': 'I am looking for the website URL for Arcadia Home Care.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 73, 'topic': 'Community Support Services'}"
What is it?,Anishinabek Nation - Union of Ontario Indians,"Document 23: question: What is the organization name? (Anishinabek Nation - Union of Ontario Indians)
answer: Anishinabek Nation - Union of Ontario Indians","[{'role': 'user', 'content': 'I need to know the name of the organization mentioned in the context.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 23, 'topic': 'Others'}"
What are those areas?,"Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region.","Document 117: question: What languages are supported? (Ask4Care Support Services)
answer: English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dutch * German * Hindi * Italian * Korean * Polish * Portuguese * Russian * Spanish Language Notes: Support services can be offered in a variety of other languages Area Served: Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region This information was last completely updated on November 22, 2023 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143828 ","[{'role': 'user', 'content': 'I need to know the regions served by Ask4Care Support Services.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 117, 'topic': 'Others'}"
What is supported there?,English,"Document 50: question: What languages are supported? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: English Area Served: Toronto and area Toronto and area This information was last completely updated on April 5, 2024 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=153865 ","[{'role': 'user', 'content': 'I am interested in the language supported by the Aphasia Institute - Pat Arato Aphasia Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 50, 'topic': 'Others'}"
What do they offer?,Forum and services for French-speaking elected municipal officers and directors * works to maintain and improve French municipal services in Ontario * training and professional development,"Document 134: question: What is the service description? (Association française des municipalités de l'Ontario (L'))
answer: Forum and services for French-speaking elected municipal officers and directors * works to maintain and improve French municipal services in Ontario * training and professional development","[{'role': 'user', 'content': ""I am interested in the services provided by the Association française des municipalités de l'Ontario.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 134, 'topic': 'Others'}"
What do they offer?,"ARCH Disability Law Centre provides community legal clinic services, summary advice and referral, confidential advice and information related to disability issues, telephone service, limited representation in test case litigation, representation for individuals in priority cases, acceptance of collect calls, public speaking, law reform initiatives, adaptive technology workstations for Internet access, and an electronic newsletter. The services are funded by Legal Aid Ontario and there are no fees.","Document 76: question: What is the service description? (ARCH Disability Law Centre)
answer: Community legal clinic  Summary Advice and Referral -- confidential advice and information related to disability issues telephone service limited representation in test case litigation representation for individuals in priority cases collect calls accepted public speaking law reform initiatives adaptive technology workstations for Internet access, Monday-Friday 10 am-4 pm electronic newsletter funded by Legal Aid Ontario Fees: None","[{'role': 'user', 'content': 'I am interested in the services provided by ARCH Disability Law Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 76, 'topic': 'Community Support Services'}"
What is the name of that?,Asperger's Society of Ontario,"Document 119: question: What is the organization name? (Asperger's Society of Ontario)
answer: Asperger's Society of Ontario","[{'role': 'user', 'content': 'I need to know the name of the organization mentioned in the context.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 119, 'topic': 'Support Services in Ontario'}"
What is it?,705-497-9127,"Document 24: question: What are the contact details? (Anishinabek Nation - Union of Ontario Indians)
answer: 705-497-9127","[{'role': 'user', 'content': 'I need the contact phone number for the Anishinabek Nation - Union of Ontario Indians.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 24, 'topic': 'Others'}"
What is the main one offered?,English,"Document 57: question: What languages are supported? (Appletree Medical Centre - Scarborough)
answer: English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 ","[{'role': 'user', 'content': ""I'm looking for the primary language supported by Appletree Medical Centre in Scarborough.""}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 57, 'topic': 'Others'}"
What are those?,Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm,"Document 111: question: What is the website URL? (Arthritis Society Canada)
answer: www.arthritis.ca Address: 220 Bay St, Suite 300 Toronto, ON M5J 2W4 Map 220 Bay St, Suite 300 Toronto, ON M5J 2W4 Map Intersection: Wellington St W and Bay St Location: Toronto (Old Toronto) Accessibility:     Wheelchair Accessible Hours: Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm Executives: Trish Barbato - President and Chief Executive Officer","[{'role': 'user', 'content': 'I need to know the office hours for Arthritis Society Canada.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 111, 'topic': 'Community Support Services'}"
