question,answer
What is the service description? (Assaulted Women's Helpline),"Confidential and anonymous crisis line * services offered include counselling, emotional support, information, safety planning and referrals in more than 200 languages * public education materials and training, seminars and workshops available through the Training, Resource and Outreach Department (416-364-4144 ext 223)  Seniors Safety Line - Free confidential 365 days 24/7 support line for seniors experiencing or at-risk of abuse including physical, mental, sexual, neglect, and financial * partnered with Elder Abuse Prevention Ontario (EAPO)  Online counselling available Mon-Fri 11am-8pm * visit website for more information  For French services, contact Fem'aide: 1-877-336-2433 * TTY: 1-866-860-7082 Fees: None * fee for training/seminars"
What are the eligibility criteria? (Assaulted Women's Helpline),"Survivors, family members, friends and anyone connected to an abused women"
What are the application details? (Assaulted Women's Helpline),No referral required - call
What languages are supported? (Assaulted Women's Helpline),"English Language Notes: Interpretation available upon request Area Served: Ontario Ontario This information was last completely updated on October 18, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/listServices.aspx?id=10979  Add Topic to Clipboard | Map |"
What is the website URL? (Assaulted Women's Helpline),"www.awhl.org Address: Six Points Plaza PO Box 40569 Etobicoke, ON M9B 6K8 Six Points Plaza PO Box 40569 Etobicoke, ON M9B 6K8 Location: Toronto (Islington—City Centre West) Hours: Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours"
What is the organization name? (Association française des municipalités de l'Ontario (L')),Association française des municipalités de l'Ontario (L')
What is the service description? (Association française des municipalités de l'Ontario (L')),Forum and services for French-speaking elected municipal officers and directors * works to maintain and improve French municipal services in Ontario * training and professional development
What are the eligibility criteria? (Association française des municipalités de l'Ontario (L')),Municipal level elected agents * French speaking
What are the service hours? (Association française des municipalités de l'Ontario (L')),Hours vary Executives: Nicole Fortier Levesque - President
What languages are supported? (Association française des municipalités de l'Ontario (L')),"English * French Language Notes: French reception, programs, publications, and website Area Served: Ontario Ontario This information was last completely updated on January 10, 2024 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=151463 "
What is the website URL? (Association française des municipalités de l'Ontario (L')),"afmo-on.ca Address: 435 Donald St, Suite 336 Ottawa, ON K1K 4X5 Map 435 Donald St, Suite 336 Ottawa, ON K1K 4X5 Map Intersection: Brant St and Donald St Location: Ottawa (Vanier)"
