question,reference_answer,reference_context,conversation_history,metadata
"Could you elaborate on the specific types of support and resources that Arthritis Society Canada offers for families dealing with childhood arthritis, particularly in terms of personal support or assistance similar to those offered by Ask4Care Support Services?","Support for Childhood Arthritis includes resources to help families live better with childhood arthritis, such as the Childhood Arthritis Backpack Program, Arthritis Camps, Family Day (Project THRIVE), MediKidz Online, and other resources.","Document 107: question: What is the service description? (Arthritis Society Canada)
answer: Funds and promotes arthritis education, research-based solutions and community-based support  Education, programs and support to people living with arthritis  Arthritis Rehabilitation and Education Program: Community-based rehabilitation program * physiotherapists, occupational therapists and social workers available * individual consultation and group education sessions * topics may include: dealing with pain arthritis medications exercises to reduce stiffness, increase strength and improve fitness new ways to be active and minimize stress on joints coping with the emotional impact of arthritis self-management strategies  Support and Self Management Programs:  Chronic Pain Management Workshops - 2 hour course on pain management * participants learn new information and skills, discuss ideas and share experiences with others that have chronic pain or care about people who live with chronic pain  Online self-management courses - E-learning programs, including ""Mental Health and Well Being"" and ""Overcoming Fatigue""  Support for Childhood Arthritis - Resources to help families live better with childhood arthritis * includes: Childhood Arthritis Backpack Program, Arthritis Camps, Family Day (Project THRIVE), MediKidz Online, other resources  Flourish - Online health and wellness advice, self-management tips, inspirational stories aimed to help you move through life with arthritis  Regional Office Burlington, Hamilton & Niagara Peterborough St Catharines Ottawa Kingston Kitchener Grey & Bruce Sudbury Sault Ste Marie Thunder Bay London Mississauga Fees: Free",[],"{'question_type': 'distracting element', 'seed_document_id': 107, 'distracting_context': 'question: What is the service description? (Ask4Care Support Services)\nanswer: Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury) assisting with medical appointments, assist with grocery shopping companionship nursing services palliative care staff to support and provide end-of-life care for patients and families child care support medication administration and reminders foot care therapy services caregiver relief live-in caregivers home keeping Fees: Contact for fees information', 'topic': 'Community Health and Social Services'}"
"Hi, I'm looking into transportation options for my elderly parent who needs to attend regular non-emergency medical appointments in North York. Can you tell me who is eligible for Ambu Trans Medical Transportation Services in the Greater Toronto Area?",Anyone requiring non-emergency ambulance transportation.,"Document 3: question: What are the eligibility criteria? (Ambu Trans Medical Transportation Services - Greater Toronto Area)
answer: anyone requiring non-emergency ambulance transportation",[],"{'question_type': 'situational', 'seed_document_id': 3, 'situational_context': 'A concerned adult child is researching transportation options for their elderly parent who requires regular non-emergency medical appointments in North York.', 'topic': 'Community Health and Social Services'}"
"Hello, I am a senior residing in Markham and I'm interested in the local Armenian family support services. Could you tell me what languages are supported by the Armenian Family Support Services?","English, Armenian, Farsi","Document 95: question: What languages are supported? (Armenian Family Support Services)
answer: English * Armenian * Farsi Area Served: Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area This information was last completely updated on November 21, 2023 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=133746 ",[],"{'question_type': 'situational', 'seed_document_id': 95, 'situational_context': 'A senior citizen living in Markham seeks advice on local Armenian family support services available in their area.', 'topic': 'Community Health and Social Services'}"
"Hi, I'm a senior residing in North York and I'm considering accessing healthcare services with Amplifon in Cobourg. Could you tell me if I need a referral to apply there?",No referral required,"Document 11: question: What are the application details? (Amplifon - Cobourg)
answer: No referral required",[],"{'question_type': 'situational', 'seed_document_id': 11, 'situational_context': 'A senior living in North York is considering accessing new healthcare services and wants to know if they need a referral for an Amplifon service in Cobourg.', 'topic': 'Community Health and Social Services'}"
"Hi, I'm looking into healthcare services for my grandmother in North York, but I'm also curious about the language support offered by Amplifon in Cobourg. Can you tell me what language they support there?",English,"Document 13: question: What languages are supported? (Amplifon - Cobourg)
answer: English Area Served: Northumberland County Northumberland County This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191553 ",[],"{'question_type': 'situational', 'seed_document_id': 13, 'situational_context': 'In search of senior-focused healthcare services in North York, a concerned grandson eagerly explores available options to ensure his grandmother receives the best care.', 'topic': 'Community Health and Social Services'}"
"Hi, I'm a senior currently living in Markham and I'm dealing with a landlord dispute. Could you tell me which areas are covered by the service that supports social housing?",Toronto,"Document 87: question: What languages are supported? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: English Area Served: Toronto Toronto This information was last completely updated on February 14, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143499 ",[],"{'question_type': 'situational', 'seed_document_id': 87, 'situational_context': 'A senior living in Markham is seeking assistance in navigating a landlord dispute and accessing community support services.', 'topic': 'Community Health and Social Services'}"
"Hi, could you tell me the service hours for ARCH Disability Law Centre? I want to see if I can visit them after my doctor's appointment on Wednesday mornings.","Mon-Fri 9 am-1 pm, 2 pm-5 pm; no intake on Thursdays","Document 79: question: What are the service hours? (ARCH Disability Law Centre)
answer: Mon-Fri 9 am-1 pm, 2 pm-5 pm; no intake on Thursdays",[],"{'question_type': 'situational', 'seed_document_id': 79, 'situational_context': ""Mrs. Thompson, a senior living in Markham, looks to find supportive services that fit within her schedule after her regular doctor's visit on Wednesday mornings."", 'topic': 'Community Health and Social Services'}"
"Hello, I'm trying to find out if my elderly aunt living in North York, who has Asperger's Syndrome, would be eligible for services from the Asperger's Society of Ontario. Could you provide some guidance on this?",People of all ages with Asperger's Syndrome and their families * general public,"Document 122: question: What are the eligibility criteria? (Asperger's Society of Ontario)
answer: People of all ages with Asperger's Syndrome and their families * general public",[],"{'question_type': 'situational', 'seed_document_id': 122, 'situational_context': ""A concerned nephew seeks guidance on services available for his elderly aunt living in North York, hoping to find specialized support tailored to her community's needs."", 'topic': 'Community Health and Social Services'}"
"Hi, while researching healthcare services for my grandmother in Toronto, I came across information about the Anishinabek Nation. Could you tell me which regions the regional grand chiefs represent in the Anishinabek Nation - Union of Ontario Indians?","The regional grand chiefs represent four strategic regional areas: Southwest, Southeast, Lake Huron, and Northern Superior.","Document 25: question: What is the service description? (Anishinabek Nation - Union of Ontario Indians)
answer: Advocacy for 40 member First Nations across Ontario * collective action on a variety of issues * regional grand chiefs represent four strategic regional areas: Southwest, Southeast, Lake Huron and Northern Superior  Variety of programs and services, including health, social services, education, intergovernmental affairs and treaty research * approximately 70 staff members  Satellite offices in Fort William First Nation, Curve Lake First Nation and Munsee-Delaware First Nation  Anishinabek Educational Institute - Full-time education and training programs for First Nation Anishinabek communities * includes programs for Native Community Workers, Early Childhood Education and Personal Support Workers * campus locations in North Bay and Muncey * www.aeipostsecondary.ca",[],"{'question_type': 'situational', 'seed_document_id': 25, 'situational_context': 'After helping her grandmother move to a retirement community in Toronto, Jane researches specialized consultants to ensure her elder family member has access to the necessary healthcare services.', 'topic': 'Community Health and Social Services'}"
I'm visiting Applewood Retirement Residence in Markham to see if it's suitable for my mother. Can you tell me what the process is for assessing eligibility there?,Prior to admission each resident is assessed to ensure that their needs can be met by this facility.,"Document 62: question: What are the eligibility criteria? (Applewood Retirement Residence)
answer: Prior to admission each resident is assessed to ensure that their needs can be met by this facility.",[],"{'question_type': 'situational', 'seed_document_id': 62, 'situational_context': ""A concerned daughter visits Applewood Retirement Residence in Markham to ensure it can meet her mother's needs before making any decisions about her care."", 'topic': 'Community Health and Social Services'}"
"Hello, could you please provide the contact phone number for Armenian Family Support Services? We're an elderly couple living in Scarborough and are looking for some community support.",416-431-5549,"Document 90: question: What are the contact details? (Armenian Family Support Services)
answer: 416-431-5549",[],"{'question_type': 'situational', 'seed_document_id': 90, 'situational_context': 'An elderly couple in Scarborough is seeking support and looking for contact details for community services.', 'topic': 'Community Health and Social Services'}"
"Hello, we are an elderly couple residing in Richmond Hill and are looking into healthcare services for our future needs. Could you tell us what language Ambu Trans Medical Transportation Services supports?",English,"Document 5: question: What languages are supported? (Ambu Trans Medical Transportation Services - Greater Toronto Area)
answer: English Area Served: Greater Toronto Area Greater Toronto Area This information was last completely updated on January 17, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191547 ",[],"{'question_type': 'situational', 'seed_document_id': 5, 'situational_context': 'An elderly couple living in Richmond Hill is exploring healthcare options as they plan to age gracefully in their community.', 'topic': 'Community Health and Social Services'}"
"Hi, I'm trying to find out who can receive medical care at Appletree Medical Centre in Scarborough, specifically for my elderly mother who might need assistance with minor illnesses or injuries. Could you help me with that?",People who need medical care for minor illnesses and injuries,"Document 55: question: What are the eligibility criteria? (Appletree Medical Centre - Scarborough)
answer: People who need medical care for minor illnesses and injuries",[],"{'question_type': 'situational', 'seed_document_id': 55, 'situational_context': 'A concerned daughter in Scarborough is researching healthcare services for her elderly mother to ensure she can access appropriate care for minor illnesses or injuries.', 'topic': 'Community Health and Social Services'}"
"Hi, as we're considering moving to a more senior-friendly area in Markham, could you tell me what the intersection near Amplifon - Taunton is?",Keith Ross Dr and Taunton Rd W,"Document 22: question: What is the website URL? (Amplifon - Taunton)
answer: www.amplifon.com/ca/branch-locator/hearing-clinics... Address: Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Intersection: Keith Ross Dr and Taunton Rd W Location: Oshawa (Stevenson North) Accessibility:     Wheelchair Accessible",[],"{'question_type': 'situational', 'seed_document_id': 22, 'situational_context': 'An elderly couple living in Markham considers relocating to a more accessible neighborhood that offers better senior services.', 'topic': 'Community Health and Social Services'}"
"Hello, I'm Anna from North York. After visiting my local community center, I realized I need some professional guidance. Can you tell me the address of the Asperger's Society of Ontario?","3219 Yonge St, Suite 231 Toronto, ON M4N 3S1","Document 125: question: What is the website URL? (Asperger's Society of Ontario)
answer: www.asontario.org Address: 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 Executives: Alexandra Prefasi - Executive Director",[],"{'question_type': 'situational', 'seed_document_id': 125, 'situational_context': 'After visiting a local community center, Anna, a retiree living in North York, decides to seek professional advice on navigating healthcare services available to her.', 'topic': 'Community Health and Social Services'}"
"Hi, I'm trying to arrange the best professional home healthcare for my grandmother in Richmond Hill. Could you please provide me with the contact number for Anovity Professional Home Healthcare?",647-829-5874,"Document 29: question: What are the contact details? (Anovity Professional Home Healthcare)
answer: 647-829-5874",[],"{'question_type': 'situational', 'seed_document_id': 29, 'situational_context': 'A concerned grandson in Richmond Hill wants to ensure his grandmother receives the best professional home healthcare.', 'topic': 'Community Health and Social Services'}"
"Hi, as I'm looking into healthcare services for my elderly mother in North York, could you tell me the name of the organization mentioned in the context?",Armenian Relief Society Toronto Roubina Chapter - Social Service Office,"Document 97: question: What is the organization name? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Armenian Relief Society Toronto Roubina Chapter - Social Service Office",[],"{'question_type': 'situational', 'seed_document_id': 97, 'situational_context': ""Margaret, a compassionate caregiver, is exploring options for her elderly mother's healthcare services in North York."", 'topic': 'Community Health and Social Services'}"
"Hi, I'm trying to find the contact phone number for Ask4Care Support Services as I'm looking for reliable senior care in my area. Can you help me with that?",647-557-3321,"Document 113: question: What are the contact details? (Ask4Care Support Services)
answer: 647-557-3321",[],"{'question_type': 'situational', 'seed_document_id': 113, 'situational_context': 'Searching for reliable support, Margaret finally found the contact details she needed for specialized senior care in her community.', 'topic': 'Community Health and Social Services'}"
What areas are served by the support for social housing and when was the contact information last updated?,"The areas served include Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings, and the contact information was last completely updated on March 4, 2022.","Document 37: question: What are the contact details? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )
answer: 416-281-2057",[],"{'question_type': 'double', 'original_questions': [{'question': 'What areas are served by the support for social housing?', 'answer': 'The areas served include Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings.'}, {'question': 'When was the contact information for social housing support last updated?', 'answer': 'The information was last completely updated on March 4, 2022.'}], 'seed_document_id': 37, 'topic': 'Community Health and Social Services'}"
What is the website URL for the ARCH Disability Law Centre and what accessibility features are available at its location?,"The website URL for the ARCH Disability Law Centre is archdisabilitylaw.ca, and its location is wheelchair accessible with an automatic main entrance, a dedicated accessible washroom with all features, and an elevator with braille features.","Document 81: question: What is the website URL? (ARCH Disability Law Centre)
answer: archdisabilitylaw.ca Address: 55 University Ave 15th Fl Toronto, ON M5J 2H7 Map 55 University Ave 15th Fl Toronto, ON M5J 2H7 Map Location: Cross street: University Ave and King St W Accessibility Notes: Wheelchair accessible automatic main entrance ; Dedicated accessible washroom with all features ; Elevator with braille features",[],"{'question_type': 'double', 'original_questions': [{'question': 'What is the website URL for the ARCH Disability Law Centre?', 'answer': 'The website URL for the ARCH Disability Law Centre is archdisabilitylaw.ca.'}, {'question': ""What accessibility features are available at the ARCH Disability Law Centre's location?"", 'answer': ""The ARCH Disability Law Centre's location is wheelchair accessible with an automatic main entrance, a dedicated accessible washroom with all features, and an elevator with braille features.""}], 'seed_document_id': 81, 'topic': 'Community Health and Social Services'}"
What languages are supported by Amplifon in Cobourg and when was this information last updated?,"Amplifon in Cobourg supports English, and this information was last completely updated on September 1, 2023.","Document 13: question: What languages are supported? (Amplifon - Cobourg)
answer: English Area Served: Northumberland County Northumberland County This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191553 ",[],"{'question_type': 'double', 'original_questions': [{'question': 'What languages are supported by Amplifon in Cobourg?', 'answer': 'English'}, {'question': 'When was the information about Amplifon in Cobourg last updated?', 'answer': 'This information was last completely updated on September 1, 2023.'}], 'seed_document_id': 13, 'topic': 'Community Health and Social Services'}"
"What types of support does the Armenian Relief Society Toronto Roubina Chapter offer to newcomers, refugees, and seniors?","The Armenian Relief Society Toronto Roubina Chapter offers orientation and adaptation information and referral, supportive family counselling, and referrals to employment counselling for newcomers and refugees, including resume help, job readiness clinic, employment counselling, skills and career development, and help in establishing social and professional networks, while for seniors, they coordinate volunteer visitation to homes, provide Armenian meals, emotional support, pastoral services, and organize cultural events.","Document 99: question: What is the service description? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Social services need assessment, information and referral to community and social services help filling out government forms including housing and Ontario Works, Ontario Disability Support Program support finding housing child care, registering children in school health care, youth services interpretation Newcomers and refugees orientation and adaptation information and referral supportive family counselling -- short-term counselling to clients who encounter difficulties in adjusting to life in Canada referrals to employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Community support coordinates volunteer visitation to seniors homes and provides Armenian meals, emotional support, pastoral services and organizes cultural events organizes community events such as food drives, bone marrow drives, and social and health education lectures Fees: Free",[],"{'question_type': 'double', 'original_questions': [{'question': 'What types of support does the Armenian Relief Society Toronto Roubina Chapter offer to newcomers and refugees?', 'answer': 'They offer orientation and adaptation information and referral, supportive family counselling, and referrals to employment counselling, including resume help, job readiness clinic, employment counselling, skills and career development, and help in establishing social and professional networks.'}, {'question': 'What community support services does the Armenian Relief Society Toronto Roubina Chapter provide for seniors?', 'answer': ""They coordinate volunteer visitation to seniors' homes and provide Armenian meals, emotional support, pastoral services, and organize cultural events.""}], 'seed_document_id': 99, 'topic': 'Community Health and Social Services'}"
What are the eligibility criteria for receiving assistance from ARCH Disability Law Centre and who can receive their services?,People with disabilities who meet financial and case eligibility guidelines are eligible to receive assistance and services from ARCH Disability Law Centre.,"Document 77: question: What are the eligibility criteria? (ARCH Disability Law Centre)
answer: People with disabilities, must meet financial and case eligibility guidelines",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the eligibility criteria for receiving assistance from ARCH Disability Law Centre?', 'answer': 'People with disabilities must meet financial and case eligibility guidelines.'}, {'question': 'Who can receive services from ARCH Disability Law Centre?', 'answer': 'People with disabilities who meet financial and case eligibility guidelines.'}], 'seed_document_id': 77, 'topic': 'Community Health and Social Services'}"
What payment methods do you accept and how can I track my order?,"You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as digital wallets like PayPal and Google Pay, or through bank and wire transfers. Once your purchase has been confirmed and shipped, you will receive a confirmation email with a tracking number, which you can use to monitor your shipment in real-time via the link in the email or on our website's order tracking page.","Document 7: question: What is the organization name? (Amplifon - Cobourg)
answer: Amplifon - Cobourg",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods do you accept?', 'answer': 'You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover. We also offer the option to pay with popular digital wallets such as PayPal and Google Pay. For added flexibility, you can choose to complete your order using bank transfers or wire transfers.'}, {'question': 'How can I track my order?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can simply click on the link provided in the email or visit our website's order tracking page. Enter your tracking number, and you will be able to monitor the progress of your shipment in real-time.""}], 'seed_document_id': 7, 'topic': 'Community Health and Social Services'}"
What are the application details for ARCH Disability Law Centre and who should you contact?,You should call to speak with the Intake Coordinator and Human Rights Worker for application details.,"Document 78: question: What are the application details? (ARCH Disability Law Centre)
answer: Call to speak with Intake Coordinator and Human Rights Worker",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the application details for ARCH Disability Law Centre?', 'answer': 'Call to speak with Intake Coordinator and Human Rights Worker.'}, {'question': 'Who should you contact for application details at ARCH Disability Law Centre?', 'answer': 'You should call to speak with the Intake Coordinator and Human Rights Worker.'}], 'seed_document_id': 78, 'topic': 'Community Health and Social Services'}"
What is the website URL and what are the administration hours for the Aphasia Institute - Pat Arato Aphasia Centre?,The website URL is www.aphasia.ca and the administration hours are Monday to Friday from 8:30am to 4pm.,"Document 51: question: What is the website URL? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: www.aphasia.ca Address: 73 Scarsdale Rd Toronto, ON M3B 2R2 Map 73 Scarsdale Rd Toronto, ON M3B 2R2 Map Intersection: Leslie St and York Mills Rd Location: Toronto (Banbury—Don Mills) Accessibility:     Wheelchair Accessible Hours: Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm  (administrative/program staff working remotely at times, so building is not open every day. Appointments are required.) Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm",[],"{'question_type': 'double', 'original_questions': [{'question': 'What is the website URL for the Aphasia Institute - Pat Arato Aphasia Centre?', 'answer': 'The website URL is www.aphasia.ca.'}, {'question': 'What are the administration hours for the Aphasia Institute - Pat Arato Aphasia Centre?', 'answer': 'The administration hours are Monday to Friday from 8:30am to 4pm.'}], 'seed_document_id': 51, 'topic': 'Community Health and Social Services'}"
What types of care and support services does Ask4Care Support Services offer and how can one find out about the fees?,"Ask4Care Support Services offers a range of services including personal support care, support for the elderly, special needs and ABI, assistance with medical appointments and grocery shopping, companionship, nursing services, palliative care, child care support, medication administration and reminders, foot care, therapy services, caregiver relief, live-in caregivers, and home keeping. For information on fees, you need to contact Ask4Care Support Services directly.","Document 114: question: What is the service description? (Ask4Care Support Services)
answer: Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury) assisting with medical appointments, assist with grocery shopping companionship nursing services palliative care staff to support and provide end-of-life care for patients and families child care support medication administration and reminders foot care therapy services caregiver relief live-in caregivers home keeping Fees: Contact for fees information",[],"{'question_type': 'double', 'original_questions': [{'question': 'What types of care and support services does Ask4Care Support Services offer?', 'answer': 'Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury), assisting with medical appointments, assist with grocery shopping, companionship, nursing services, palliative care staff to support and provide end-of-life care for patients and families, child care support, medication administration and reminders, foot care, therapy services, caregiver relief, live-in caregivers, and home keeping.'}, {'question': 'How can one find out about the fees for Ask4Care Support Services?', 'answer': 'For fees information, you need to contact Ask4Care Support Services.'}], 'seed_document_id': 114, 'topic': 'Community Health and Social Services'}"
What are the application details for accessing services from Arthritis Society Canada and how can individuals with arthritis apply?,Individuals with arthritis can access services through self-referral or by obtaining a referral from a health care provider. They should consult the referral form or contact the office for more information.,"Document 109: question: What are the application details? (Arthritis Society Canada)
answer: Self-referral or referral from health care provider for people with arthritis * see referral form or call office",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the application details for accessing services from Arthritis Society Canada?', 'answer': 'Self-referral or referral from health care provider for people with arthritis. You can see the referral form or call the office for more information.'}, {'question': 'How can individuals with arthritis apply for services at Arthritis Society Canada?', 'answer': 'Individuals can apply through self-referral or by getting a referral from a health care provider. They should see the referral form or call the office for further details.'}], 'seed_document_id': 109, 'topic': 'Community Health and Social Services'}"
What services are offered to support social housing and are there any fees for these services?,"The services offered to support social housing include assistance applying for social housing, help resolving landlord/tenant disputes, counselling workshops, and support groups for Aboriginal tenants, as well as information and referral to general services, and there are no fees for these services.","Document 87: question: What languages are supported? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: English Area Served: Toronto Toronto This information was last completely updated on February 14, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143499 ",[],"{'question_type': 'double', 'original_questions': [{'question': 'What services are offered to support social housing?', 'answer': 'The services offered include assistance applying for social housing, help resolving landlord/tenant disputes, counselling workshops, and support groups of interest to Aboriginal tenants, as well as information and referral to general services.'}, {'question': 'Are there any fees for the social housing support services?', 'answer': 'No, there are no fees for the social housing support services.'}], 'seed_document_id': 87, 'topic': 'Community Health and Social Services'}"
What languages are supported and which areas are served by Ask4Care Support Services?,"Ask4Care Support Services supports English, Arabic, Chinese (Cantonese), Chinese (Mandarin), Dutch, German, Hindi, Italian, Korean, Polish, Portuguese, Russian, and Spanish, and can offer support in a variety of other languages, while serving areas including Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region.","Document 117: question: What languages are supported? (Ask4Care Support Services)
answer: English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dutch * German * Hindi * Italian * Korean * Polish * Portuguese * Russian * Spanish Language Notes: Support services can be offered in a variety of other languages Area Served: Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region This information was last completely updated on November 22, 2023 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143828 ",[],"{'question_type': 'double', 'original_questions': [{'question': 'What languages are supported by Ask4Care Support Services?', 'answer': 'Ask4Care Support Services supports English, Arabic, Chinese (Cantonese), Chinese (Mandarin), Dutch, German, Hindi, Italian, Korean, Polish, Portuguese, Russian, and Spanish. Support services can be offered in a variety of other languages.'}, {'question': 'Which areas are served by Ask4Care Support Services?', 'answer': 'Ask4Care Support Services serves Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region.'}], 'seed_document_id': 117, 'topic': 'Community Health and Social Services'}"
What payment methods can customers use for purchases and how can they track their orders after purchase?,"Customers can make purchases using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as popular digital wallets such as PayPal and Google Pay, and bank transfers are also accepted. To track their orders, customers receive a confirmation email with a tracking number after the purchase is confirmed and shipped, allowing them to click the link in the email or visit the website's order tracking page to monitor the shipment in real-time.","Document 74: question: What is the organization name? (ARCH Disability Law Centre)
answer: ARCH Disability Law Centre",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods can customers use for purchases?', 'answer': 'Customers can make purchases using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as popular digital wallets such as PayPal and Google Pay. Bank transfers or wire transfers are also accepted.'}, {'question': 'How can customers track their orders after purchase?', 'answer': ""Customers can track their orders by receiving a confirmation email containing a tracking number once the purchase is confirmed and shipped. They can click the link in the email or visit the website's order tracking page to enter the tracking number and monitor the shipment in real-time.""}], 'seed_document_id': 74, 'topic': 'Community Health and Social Services'}"
What are the application details and how can one apply to the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?,"You can apply by calling, emailing, or walking in.","Document 101: question: What are the application details? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Call, email or walk in",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the application details for the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?', 'answer': 'Call, email or walk in.'}, {'question': 'How can one apply to the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?', 'answer': 'You can apply by calling, emailing, or walking in.'}], 'seed_document_id': 101, 'topic': 'Community Health and Social Services'}"
What are the eligibility criteria for Arcadia Home Care services and who can benefit from them?,People requiring home care services.,"Document 69: question: What are the eligibility criteria? (Arcadia Home Care)
answer: People requiring home care services",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the eligibility criteria for Arcadia Home Care services?', 'answer': 'People requiring home care services.'}, {'question': 'Who can benefit from Arcadia Home Care services?', 'answer': 'People requiring home care services.'}], 'seed_document_id': 69, 'topic': 'Community Health and Social Services'}"
What languages are supported and what areas are served by Armenian Family Support Services?,"The languages supported are English, Armenian, and Farsi, and the areas served include Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area.","Document 95: question: What languages are supported? (Armenian Family Support Services)
answer: English * Armenian * Farsi Area Served: Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area This information was last completely updated on November 21, 2023 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=133746 ",[],"{'question_type': 'double', 'original_questions': [{'question': 'What languages are supported by Armenian Family Support Services?', 'answer': 'The languages supported are English, Armenian, and Farsi.'}, {'question': 'What areas are served by Armenian Family Support Services?', 'answer': 'The areas served include Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area.'}], 'seed_document_id': 95, 'topic': 'Community Health and Social Services'}"
What is it?,416-495-0644,"Document 98: question: What are the contact details? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: 416-495-0644","[{'role': 'user', 'content': 'I need the contact number for the Armenian Relief Society Toronto Roubina Chapter - Social Service Office.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 98, 'topic': 'Community Health and Social Services'}"
What is it?,647-829-5874,"Document 29: question: What are the contact details? (Anovity Professional Home Healthcare)
answer: 647-829-5874","[{'role': 'user', 'content': 'I need the contact number for Anovity Professional Home Healthcare.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 29, 'topic': 'Community Health and Social Services'}"
What are they?,English * French Language Notes: (interpreters by appointment),"Document 80: question: What languages are supported? (ARCH Disability Law Centre)
answer: English * French Language Notes: (interpreters by appointment) Area Served: Greater Toronto Area Greater Toronto Area This information was last completely updated on June 20, 2023 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=185730 ","[{'role': 'user', 'content': 'I am interested in the languages supported by the ARCH Disability Law Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 80, 'topic': 'Community Health and Social Services'}"
How can one do that?,Call to speak with Intake Coordinator and Human Rights Worker,"Document 78: question: What are the application details? (ARCH Disability Law Centre)
answer: Call to speak with Intake Coordinator and Human Rights Worker","[{'role': 'user', 'content': 'I am interested in applying to the ARCH Disability Law Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 78, 'topic': 'Community Health and Social Services'}"
